"REPORT_ID","Stats Area","Suburb","Postcode","LGA Name","Total Units","Total Cas","Total Fats","Total SI","Total MI","Year","Month","Day","Time","Area Speed","Position Type","Horizontal Align","Vertical Align","Other Feat","Road Surface","Moisture Cond","Weather Cond","DayNight","Crash Type","Unit Resp","Entity Code","CSEF Severity","Traffic Ctrls","DUI Involved","Drugs Involved","ACCLOC_X","ACCLOC_Y","UNIQUE_LOC"
"2015-1-27/05/2021","2 Metropolitan","ELIZABETH VALE","5112","CITY OF PLAYFORD.",2,1,0,0,1,2015,"January","Wednesday","01:00 pm","060","T-Junction","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Side Swipe","01","Driver Rider","2: MI","No Control","","",1335254.54,1690056.88,"13352551690057"
"2015-2-27/05/2021","2 Metropolitan","SALISBURY","5108","CITY OF SALISBURY",2,1,0,0,1,2015,"February","Tuesday","03:38 pm","060","Cross Road","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Rear End","01","Driver Rider","2: MI","Traffic Signals","","",1333389.6,1688248.34,"13333901688248"
"2015-3-27/05/2021","2 Metropolitan","ST MARYS","5042","CC MITCHAM.                   ",2,1,0,0,1,2015,"March","Tuesday","01:15 pm","070","Cross Road","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Rear End","01","Driver Rider","2: MI","Traffic Signals","","",1326004.51,1661277.67,"13260051661278"
"2015-4-27/05/2021","2 Metropolitan","MITCHELL PARK","5043","CC MARION.                    ",3,0,0,0,0,2015,"January","Friday","11:15 am","060","Divided Road","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Rear End","01","Driver Rider","1: PDO","No Control","","",1324707.6,1660681.57,"13247081660682"
"2015-5-27/05/2021","2 Metropolitan","NORTH BRIGHTON","5048","CITY OF HOLDFAST BAY",2,0,0,0,0,2015,"January","Sunday","06:05 pm","050","Cross Road","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Rear End","01","Driver Rider","1: PDO","Stop Sign","","",1320769.68,1661801.51,"13207701661802"
"2015-6-27/05/2021","2 Metropolitan","SALISBURY DOWNS","5108","CITY OF SALISBURY",2,1,0,0,1,2015,"January","Monday","03:40 pm","060","Cross Road","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Rear End","01","Driver Rider","2: MI","Traffic Signals","","",1331438.94,1686827.09,"13314391686827"
"2015-7-27/05/2021","2 Metropolitan","EDWARDSTOWN","5039","CC MARION.                    ",2,0,0,0,0,2015,"January","Monday","06:15 pm","050","Cross Road","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Right Angle","02","Driver Rider","1: PDO","Stop Sign","","",1325689.36,1665269.62,"13256891665270"
"2015-8-27/05/2021","1 City","NORTH ADELAIDE","5006","CITY OF ADELAIDE",2,0,0,0,0,2015,"January","Tuesday","12:30 pm","050","Not Divided","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Rear End","01","Driver Rider","1: PDO","No Control","","",1328296.1,1671670.41,"13282961671670"
"2015-9-27/05/2021","2 Metropolitan","PLYMPTON","5038","CITY OF WEST TORRENS",2,0,0,0,0,2015,"January","Monday","07:30 pm","060","Divided Road","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Rear End","02","Driver Rider","1: PDO","No Control","","",1324317.73,1666625.75,"13243181666626"
"2015-10-27/05/2021","2 Metropolitan","NORWOOD","5067","CC OF NORWOOD,PAYNEHAM & ST PETERS",2,1,0,0,1,2015,"January","Thursday","02:35 pm","050","Cross Road","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Rear End","02","Driver Rider","2: MI","Traffic Signals","","",1331854.23,1671077.71,"13318541671078"
"2015-11-27/05/2021","2 Metropolitan","EASTWOOD","5063","CITY OF BURNSIDE",2,1,0,0,1,2015,"January","Tuesday","05:30 pm","060","Divided Road","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Rear End","01","Driver Rider","2: MI","No Control","","",1330048.29,1668989.39,"13300481668989"
"2015-12-27/05/2021","1 City","NORTH ADELAIDE","5006","CITY OF ADELAIDE",2,0,0,0,0,2015,"January","Thursday","07:05 pm","050","Cross Road","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Side Swipe","02","Driver Rider","1: PDO","Traffic Signals","","",1328188.98,1672874.48,"13281891672874"
"2015-13-27/05/2021","2 Metropolitan","HACKNEY","5069","CC OF NORWOOD,PAYNEHAM & ST PETERS",2,0,0,0,0,2015,"January","Monday","06:00 pm","060","Divided Road","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Side Swipe","01","Driver Rider","1: PDO","No Control","","",1329837.95,1671639.25,"13298381671639"
"2015-14-27/05/2021","2 Metropolitan","VIRGINIA","5120","CITY OF PLAYFORD.",2,0,0,0,0,2015,"January","Tuesday","10:00 am","090","T-Junction","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Right Angle","01","Driver Rider","1: PDO","Give Way Sign","","",1326421.71,1696569.21,"13264221696569"
"2015-15-27/05/2021","2 Metropolitan","GLENELG","5045","CITY OF HOLDFAST BAY",2,0,0,0,0,2015,"January","Monday","02:30 pm","040","Not Divided","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Hit Parked Vehicle","01","Driver Rider","1: PDO","No Control","","",1320512.77,1664885.94,"13205131664886"
"2015-16-27/05/2021","2 Metropolitan","GLENELG NORTH","5045","CITY OF HOLDFAST BAY",2,2,0,0,2,2015,"January","Monday","05:00 pm","060","Cross Road","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Side Swipe","01","Driver Rider","2: MI","Traffic Signals","","",1321009.59,1665321.55,"13210101665322"
"2015-17-27/05/2021","3 Country","TAILEM BEND","5259","COORONG DISTRICT COUNCIL",1,0,0,0,0,2015,"January","Friday","12:30 pm","110","Not Divided","CURVED, VIEW OBSCURED","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Left Road - Out of Control","01","Driver Rider","1: PDO","No Control","","",1410679.48,1631220.9,"14106791631221"
"2015-18-27/05/2021","2 Metropolitan","HACKNEY","5069","CC OF NORWOOD,PAYNEHAM & ST PETERS",2,1,0,0,1,2015,"January","Tuesday","09:45 am","060","T-Junction","Straight road","Level","Not Applicable","Sealed","Wet","Raining","Daylight","Right Angle","01","Driver Rider","2: MI","No Control","","",1329879.14,1671460.7,"13298791671461"
"2015-19-27/05/2021","2 Metropolitan","GLENELG","5045","CITY OF HOLDFAST BAY",2,0,0,0,0,2015,"January","Sunday","01:20 pm","050","Not Divided","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Side Swipe","01","Driver Rider","1: PDO","No Control","","",1320311.89,1664939.36,"13203121664939"
"2015-20-27/05/2021","2 Metropolitan","GAWLER SOUTH","5118","CT GAWLER.                    ",1,0,0,0,0,2015,"January","Monday","11:30 am","050","Not Divided","Straight road","Level","Driveway or Entrance","Sealed","Dry","Not Raining","Daylight","Roll Over","09","Other","1: PDO","No Control","","",1342898.92,1705546.86,"13428991705547"
