"REPORT_ID","Stats Area","Suburb","Postcode","LGA Name","Total Units","Total Cas","Total Fats","Total SI","Total MI","Year","Month","Day","Time","Area Speed","Position Type","Horizontal Align","Vertical Align","Other Feat","Road Surface","Moisture Cond","Weather Cond","DayNight","Crash Type","Unit Resp","Entity Code","CSEF Severity","Traffic Ctrls","DUI Involved","Drugs Involved","ACCLOC_X","ACCLOC_Y","UNIQUE_LOC"
"2016-1-27/05/2021","1 City","ADELAIDE","5000","CITY OF ADELAIDE",2,1,1,0,0,2016,"November","Wednesday","01:45 pm","050","Divided Road","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Hit Pedestrian","02","Pedestrian","4: Fatal","No Control","","",1328459.11,1670877.88,"13284591670878"
"2016-2-27/05/2021","2 Metropolitan","POORAKA","5095","CITY OF SALISBURY",2,0,0,0,0,2016,"December","Thursday","01:00 pm","070","Divided Road","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Rear End","02","Driver Rider","1: PDO","No Control","","",1330553.58,1681820.29,"13305541681820"
"2016-3-27/05/2021","2 Metropolitan","GREEN FIELDS","5107","CITY OF SALISBURY",2,0,0,0,0,2016,"November","Tuesday","07:10 am","080","T-Junction","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Rear End","02","Driver Rider","1: PDO","Traffic Signals","","",1328689.4,1685255.52,"13286891685256"
"2016-4-27/05/2021","2 Metropolitan","MITCHELL PARK","5043","CC MARION.                    ",2,0,0,0,0,2016,"November","Tuesday","10:30 am","060","Divided Road","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Right Angle","02","Driver Rider","1: PDO","No Control","","",1324836.89,1660685.41,"13248371660685"
"2016-5-27/05/2021","2 Metropolitan","EVANSTON SOUTH","5116","CT GAWLER.                    ",2,3,0,0,3,2016,"November","Tuesday","12:56 pm","090","Cross Road","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Right Angle","01","Driver Rider","2: MI","Stop Sign","","",1339551.26,1700125.05,"13395511700125"
"2016-6-27/05/2021","2 Metropolitan","MOUNT BARKER","5251","DC MT.BARKER.                 ",2,0,0,0,0,2016,"December","Saturday","02:30 pm","050","T-Junction","CURVED, VIEW OPEN","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Right Angle","01","Driver Rider","1: PDO","No Control","","",1351084.9,1653388.34,"13510851653388"
"2016-7-27/05/2021","2 Metropolitan","DRY CREEK","5094","CITY OF SALISBURY",2,0,0,0,0,2016,"November","Tuesday","03:00 pm","090","Divided Road","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Side Swipe","02","Driver Rider","1: PDO","No Control","","",1327630.88,1681853.95,"13276311681854"
"2016-8-27/05/2021","2 Metropolitan","PAYNEHAM","5070","CC OF NORWOOD,PAYNEHAM & ST PETERS",4,1,0,0,1,2016,"November","Tuesday","02:13 pm","060","Divided Road","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Hit Parked Vehicle","02","Driver Rider","2: MI","No Control","","",1332197.69,1673195.68,"13321981673196"
"2016-9-27/05/2021","1 City","ADELAIDE","5000","CITY OF ADELAIDE",2,1,0,0,1,2016,"November","Tuesday","03:40 pm","060","T-Junction","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Right Angle","02","Driver Rider","2: MI","Traffic Signals","","",1326873.73,1671362.14,"13268741671362"
"2016-10-27/05/2021","2 Metropolitan","THEBARTON","5031","CITY OF WEST TORRENS",2,0,0,0,0,2016,"November","Tuesday","07:49 am","060","Divided Road","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Side Swipe","02","Driver Rider","1: PDO","No Control","","",1326583.11,1671636.57,"13265831671637"
"2016-11-27/05/2021","1 City","ADELAIDE","5000","CITY OF ADELAIDE",2,0,0,0,0,2016,"November","Tuesday","05:00 pm","050","Not Divided","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Rear End","02","Driver Rider","1: PDO","No Control","","",1328381.66,1670185.03,"13283821670185"
"2016-12-27/05/2021","2 Metropolitan","MILE END SOUTH","5031","CITY OF WEST TORRENS",2,0,0,0,0,2016,"November","Tuesday","02:20 pm","060","T-Junction","Straight road","Level","Not Applicable","Sealed","Dry","Not Raining","Daylight","Side Swipe","02","Driver Rider","1: PDO","No Control","","",1325877.51,1670088.48,"13258781670088"
